Р;5000026;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;15;875;19;нет;960;
Р;5000027;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;15;875;19;нет;960;
Р;5000029;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;15;875;19;нет;960;
Р;5000030;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;15;875;19;нет;960;
Р;5000038;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;38;84;19;нет;2000;
Р;5000046;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;60;84;19;нет;3200;
Р;5000047;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;58;84;19;нет;3400;
Р;5000048;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;58;84;19;нет;3400;
Р;5000049;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;58;84;19;нет;3400;
Р;5000050;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;58;84;19;нет;3400;
Р;5000051;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;66;84;19;нет;3400;
Р;5000052;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;44;84;19;нет;2200;
Р;5000055;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;38;88;19;Небольшой скол по эмали;18000;
Р;5000065;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;74;916;19;нет;1360;
Р;5000067;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;3;56;19;нет;6800;
Р;5000069;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;6;56;19;нет;18000;
Р;5000070;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;1;56;19;нет;2400;
Р;5000072;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;11,4;84;19;нет;1200;
Р;5000073;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;16,9;84;19;нет;3600;
Р;5000074;нет;Россия.;Рукописная.Праздники. 2 половина 19 века.;160;84;19;нет;12800;
